2024-07-30 21:23:24 status half-installed libnsl2:amd64 1.3.0-2
2024-07-30 21:23:24 status unpacked libnsl2:amd64 1.3.0-2
2024-07-30 21:23:24 install libwrap0:amd64 <none> 7.6.q-32
2024-07-30 21:23:24 status half-installed libwrap0:amd64 7.6.q-32
2024-07-30 21:23:24 status unpacked libwrap0:amd64 7.6.q-32
2024-07-30 21:23:24 install openssh-server:amd64 <none> 1:9.2p1-2+deb12u3
2024-07-30 21:23:24 status half-installed openssh-server:amd64 1:9.2p1-2+deb12u3
2024-07-30 21:23:24 status unpacked openssh-server:amd64 1:9.2p1-2+deb12u3
2024-07-30 21:23:24 install krb5-locales:all <none> 1.20.1-2+deb12u2
2024-07-30 21:23:24 status half-installed krb5-locales:all 1.20.1-2+deb12u2
2024-07-30 21:23:24 status unpacked krb5-locales:all 1.20.1-2+deb12u2
2024-07-30 21:23:24 install libnss-systemd:amd64 <none> 252.26-1~deb12u2
2024-07-30 21:23:24 status half-installed libnss-systemd:amd64 252.26-1~deb12u2
2024-07-30 21:23:24 status unpacked libnss-systemd:amd64 252.26-1~deb12u2
2024-07-30 21:23:24 install libpam-systemd:amd64 <none> 252.26-1~deb12u2
2024-07-30 21:23:24 status half-installed libpam-systemd:amd64 252.26-1~deb12u2
2024-07-30 21:23:24 status unpacked libpam-systemd:amd64 252.26-1~deb12u2
2024-07-30 21:23:24 install ncurses-term:all <none> 6.4-4
2024-07-30 21:23:24 status half-installed ncurses-term:all 6.4-4
2024-07-30 21:23:24 status unpacked ncurses-term:all 6.4-4
2024-07-30 21:23:24 install systemd-timesyncd:amd64 <none> 252.26-1~deb12u2
2024-07-30 21:23:24 status half-installed systemd-timesyncd:amd64 252.26-1~deb12u2
2024-07-30 21:23:24 status unpacked systemd-timesyncd:amd64 252.26-1~deb12u2
2024-07-30 21:23:24 install dbus-user-session:amd64 <none> 1.14.10-1~deb12u1
2024-07-30 21:23:24 status half-installed dbus-user-session:amd64 1.14.10-1~deb12u1
2024-07-30 21:23:24 status unpacked dbus-user-session:amd64 1.14.10-1~deb12u1
2024-07-30 21:23:24 install libgpm2:amd64 <none> 1.20.7-10+b1
2024-07-30 21:23:24 status half-installed libgpm2:amd64 1.20.7-10+b1
2024-07-30 21:23:24 status unpacked libgpm2:amd64 1.20.7-10+b1
2024-07-30 21:23:24 install libxau6:amd64 <none> 1:1.0.9-1
2024-07-30 21:23:24 status half-installed libxau6:amd64 1:1.0.9-1
2024-07-30 21:23:24 status unpacked libxau6:amd64 1:1.0.9-1
2024-07-30 21:23:24 install libxdmcp6:amd64 <none> 1:1.1.2-3
2024-07-30 21:23:24 status half-installed libxdmcp6:amd64 1:1.1.2-3
2024-07-30 21:23:24 status unpacked libxdmcp6:amd64 1:1.1.2-3
2024-07-30 21:23:24 install libxcb1:amd64 <none> 1.15-1
2024-07-30 21:23:24 status half-installed libxcb1:amd64 1.15-1
2024-07-30 21:23:24 status unpacked libxcb1:amd64 1.15-1
2024-07-30 21:23:24 install libx11-data:all <none> 2:1.8.4-2+deb12u2
2024-07-30 21:23:24 status half-installed libx11-data:all 2:1.8.4-2+deb12u2
2024-07-30 21:23:24 status unpacked libx11-data:all 2:1.8.4-2+deb12u2
2024-07-30 21:23:24 install libx11-6:amd64 <none> 2:1.8.4-2+deb12u2
2024-07-30 21:23:24 status half-installed libx11-6:amd64 2:1.8.4-2+deb12u2
2024-07-30 21:23:24 status unpacked libx11-6:amd64 2:1.8.4-2+deb12u2
2024-07-30 21:23:24 install libxext6:amd64 <none> 2:1.3.4-1+b1
2024-07-30 21:23:24 status half-installed libxext6:amd64 2:1.3.4-1+b1
2024-07-30 21:23:25 status unpacked libxext6:amd64 2:1.3.4-1+b1
2024-07-30 21:23:25 install libxmuu1:amd64 <none> 2:1.1.3-3
2024-07-30 21:23:25 status half-installed libxmuu1:amd64 2:1.1.3-3
2024-07-30 21:23:25 status unpacked libxmuu1:amd64 2:1.1.3-3
2024-07-30 21:23:25 install psmisc:amd64 <none> 23.6-1
2024-07-30 21:23:25 status half-installed psmisc:amd64 23.6-1
2024-07-30 21:23:25 status unpacked psmisc:amd64 23.6-1
2024-07-30 21:23:25 install xauth:amd64 <none> 1:1.1.2-1
2024-07-30 21:23:25 status half-installed xauth:amd64 1:1.1.2-1
2024-07-30 21:23:25 status unpacked xauth:amd64 1:1.1.2-1
2024-07-30 21:23:25 startup packages configure
2024-07-30 21:23:25 configure libexpat1:amd64 2.5.0-1 <none>
2024-07-30 21:23:25 status unpacked libexpat1:amd64 2.5.0-1
2024-07-30 21:23:25 status half-configured libexpat1:amd64 2.5.0-1
2024-07-30 21:23:25 status installed libexpat1:amd64 2.5.0-1
2024-07-30 21:23:25 configure runit-helper:all 2.15.2 <none>
2024-07-30 21:23:25 status unpacked runit-helper:all 2.15.2
2024-07-30 21:23:25 status half-configured runit-helper:all 2.15.2
2024-07-30 21:23:25 status installed runit-helper:all 2.15.2
2024-07-30 21:23:25 configure systemd-sysv:amd64 252.26-1~deb12u2 <none>
2024-07-30 21:23:25 status unpacked systemd-sysv:amd64 252.26-1~deb12u2
2024-07-30 21:23:25 status half-configured systemd-sysv:amd64 252.26-1~deb12u2
2024-07-30 21:23:25 status installed systemd-sysv:amd64 252.26-1~deb12u2
2024-07-30 21:23:25 configure libxau6:amd64 1:1.0.9-1 <none>
2024-07-30 21:23:25 status unpacked libxau6:amd64 1:1.0.9-1
2024-07-30 21:23:25 status half-configured libxau6:amd64 1:1.0.9-1
2024-07-30 21:23:25 status installed libxau6:amd64 1:1.0.9-1
2024-07-30 21:23:25 configure libkeyutils1:amd64 1.6.3-2 <none>
2024-07-30 21:23:25 status unpacked libkeyutils1:amd64 1.6.3-2
2024-07-30 21:23:25 status half-configured libkeyutils1:amd64 1.6.3-2
2024-07-30 21:23:25 status installed libkeyutils1:amd64 1.6.3-2
2024-07-30 21:23:25 configure libgpm2:amd64 1.20.7-10+b1 <none>
2024-07-30 21:23:25 status unpacked libgpm2:amd64 1.20.7-10+b1
2024-07-30 21:23:25 status half-configured libgpm2:amd64 1.20.7-10+b1
2024-07-30 21:23:25 status installed libgpm2:amd64 1.20.7-10+b1
2024-07-30 21:23:25 configure psmisc:amd64 23.6-1 <none>
2024-07-30 21:23:25 status unpacked psmisc:amd64 23.6-1
2024-07-30 21:23:25 status half-configured psmisc:amd64 23.6-1
2024-07-30 21:23:25 status installed psmisc:amd64 23.6-1
2024-07-30 21:23:25 configure libtirpc-common:all 1.3.3+ds-1 <none>
2024-07-30 21:23:25 status unpacked libtirpc-common:all 1.3.3+ds-1
2024-07-30 21:23:25 status half-configured libtirpc-common:all 1.3.3+ds-1
2024-07-30 21:23:25 status installed libtirpc-common:all 1.3.3+ds-1
2024-07-30 21:23:25 configure libcbor0.8:amd64 0.8.0-2+b1 <none>
2024-07-30 21:23:25 status unpacked libcbor0.8:amd64 0.8.0-2+b1
2024-07-30 21:23:25 status half-configured libcbor0.8:amd64 0.8.0-2+b1
2024-07-30 21:23:25 status installed libcbor0.8:amd64 0.8.0-2+b1
2024-07-30 21:23:25 configure libnss-systemd:amd64 252.26-1~deb12u2 <none>
2024-07-30 21:23:25 status unpacked libnss-systemd:amd64 252.26-1~deb12u2
2024-07-30 21:23:25 status half-configured libnss-systemd:amd64 252.26-1~deb12u2
2024-07-30 21:23:25 status installed libnss-systemd:amd64 252.26-1~deb12u2
2024-07-30 21:23:25 configure krb5-locales:all 1.20.1-2+deb12u2 <none>
2024-07-30 21:23:25 status unpacked krb5-locales:all 1.20.1-2+deb12u2
2024-07-30 21:23:25 status half-configured krb5-locales:all 1.20.1-2+deb12u2
